app_name,app_category,Y,size_unkown_unit,downloads_unstandardized,reviews_count,free_paid,price_if_paid,age_rating,app_tags,release_date,app_version,compatible_os_version
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up
Girls hairstyles 2018,BEAUTY,4.2,62,3.1M,"10,000+",Free,0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"August 1, 2018",Varies with device,Varies with device
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device
NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446,Varies with device,"10,000,000+",Free,0,Teen,Books & Reference,"April 25, 2018",Varies with device,Varies with device
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000+",Free,0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",Free,0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",Free,0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0M,"100,000+",Free,0,Everyone,Books & Reference,"August 20, 2016",3.05,4.0.3 and up
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",Free,0,Everyone,Books & Reference,"July 17, 2018",2.0,3.0 and up
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up
Visual Voicemail by MetroPCS,BUSINESS,4.1,16129,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
ADP Mobile Solutions,BUSINESS,4.3,85185,29M,"5,000,000+",Free,0,Everyone,Business,"July 17, 2018",3.4.2,5.0 and up
USPS MOBILE®,BUSINESS,3.9,16589,9.1M,"1,000,000+",Free,0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up
Plugin:AOT v5.0,BUSINESS,3.1,4034,23k,"100,000+",Free,0,Everyone,Business,"September 11, 2015",3.0.1.11 (Build 311),2.2 and up
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Everyone,Business,"July 20, 2018",4.1.28165.0716,4.0 and up
Job Korea - Career Jobs,BUSINESS,4.3,10600,6.5M,"1,000,000+",Free,0,Everyone,Business,"August 1, 2018",2.5.6,4.0 and up
Myanmar 2D/3D,BUSINESS,4.6,822,3.1M,"100,000+",Free,0,Everyone,Business,"June 8, 2018",1.5,4.0.3 and up
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805,Varies with device,"5,000,000+",Free,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 25, 2018",Varies with device,Varies with device
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805,Varies with device,"5,000,000+",Free,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19M,"1,000,000+",Free,0,Everyone,Business,"August 2, 2018",3.4.49,4.1 and up
Slack,BUSINESS,4.4,51507,Varies with device,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
Xero Accounting Software,BUSINESS,3.5,2111,Varies with device,"100,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
Google Analytics,BUSINESS,4.5,78662,22M,"1,000,000+",Free,0,Everyone,Business,"February 13, 2018",3.7.5,4.4 and up
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Everyone,Business,"July 20, 2018",4.1.28165.0716,4.0 and up
Cisco Webex Teams,BUSINESS,4.2,1661,46M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up
Microsoft Remote Desktop,BUSINESS,4.2,97702,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
Slack,BUSINESS,4.4,51507,Varies with device,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
Xero Accounting Software,BUSINESS,3.5,2111,Varies with device,"100,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
Google Analytics,BUSINESS,4.5,78662,22M,"1,000,000+",Free,0,Everyone,Business,"February 13, 2018",3.7.5,4.4 and up
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 25, 2018",Varies with device,Varies with device
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80804,Varies with device,"5,000,000+",Free,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19M,"1,000,000+",Free,0,Everyone,Business,"August 2, 2018",3.4.49,4.1 and up
Slack,BUSINESS,4.4,51510,Varies with device,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
LINE WEBTOON - Free Comics,COMICS,4.5,1013635,Varies with device,"10,000,000+",Free,0,Teen,Comics,"July 31, 2018",Varies with device,Varies with device
MangaToon - Comics updated Daily,COMICS,3.9,834,15M,"50,000+",Free,0,Mature 17+,Comics,"August 1, 2018",1.0.8,4.1 and up
Manga Net – Best Online Manga Reader,COMICS,4.1,1010,11M,"50,000+",Free,0,Mature 17+,Comics,"July 7, 2018",1.5,4.1 and up
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
pixiv comic - everyone's manga app,COMICS,4.4,18814,Varies with device,"1,000,000+",Free,0,Mature 17+,Comics,"July 30, 2018",Varies with device,Varies with device
Perfect Viewer,COMICS,4.4,51981,Varies with device,"5,000,000+",Free,0,Everyone,Comics,"August 1, 2018",4.2.0.2,2.3 and up
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up
Memes Button,COMICS,4.4,5968,5.7M,"1,000,000+",Free,0,Everyone,Comics,"May 28, 2018",1.4,4.0 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,16M,"100,000,000+",Free,0,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up
imo beta free calls and text,COMMUNICATION,4.3,659395,11M,"100,000,000+",Free,0,Everyone,Communication,"June 7, 2018",9.8.000000010492,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785892,11M,"500,000,000+",Free,0,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
Call Free – Free Call,COMMUNICATION,4.3,30209,15M,"5,000,000+",Free,0,Everyone,Communication,"July 28, 2018",1.3.4,4.1 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 19, 2018",Varies with device,Varies with device
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Xperia Link™,COMMUNICATION,4.1,45487,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"October 27, 2016",Varies with device,Varies with device
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37M,"10,000,000+",Free,0,Mature 17+,Communication,"August 2, 2018",6.7.9.1,4.0.3 and up
Who,COMMUNICATION,4.3,2451083,Varies with device,"100,000,000+",Free,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device
WeChat,COMMUNICATION,4.2,5387333,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",Free,0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 9, 2018",7.5.3.20547,4.1 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40M,"500,000,000+",Free,0,Teen,Communication,"August 2, 2018",12.8.5.1121,4.0 and up
My Vodacom SA,COMMUNICATION,3.7,25021,61M,"5,000,000+",Free,0,Everyone,Communication,"June 26, 2018",9.9.0,4.3 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56646578,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,25M,"10,000,000+",Free,0,Everyone,Communication,"July 18, 2018",6.1,4.2 and up
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Who,COMMUNICATION,4.3,2451093,Varies with device,"100,000,000+",Free,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,17M,"1,000,000+",Free,0,Everyone,Communication,"August 2, 2018",4.98,2.3 and up
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 29, 2018",Varies with device,Varies with device
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,8.4M,"1,000,000+",Free,0,Everyone,Communication,"July 30, 2018",6.5.1,4.0.3 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 9, 2018",7.5.3.20547,4.1 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5150471,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 19, 2018",Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648480,3.3M,"100,000,000+",Free,0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17714850,40M,"500,000,000+",Free,0,Teen,Communication,"August 2, 2018",12.8.5.1121,4.0 and up
Web Browser for Android,COMMUNICATION,4.1,55098,4.3M,"1,000,000+",Free,0,Everyone,Communication,"June 20, 2018",2.2,4.0 and up
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552441,29M,"10,000,000+",Free,0,Everyone,Communication,"August 1, 2018",6.19.1,4.1 and up
Gmail,COMMUNICATION,4.3,4604483,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188142,16M,"100,000,000+",Free,0,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up
Mail.Ru - Email App,COMMUNICATION,4.6,837842,Varies with device,"50,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19M,"5,000,000+",Free,0,Everyone,Communication,"June 21, 2018",3.2.0,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
Viber Messenger,COMMUNICATION,4.3,11335255,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 29, 2018",Varies with device,Varies with device
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,$6.99,Everyone,Dating,"October 25, 2017",1.1.6,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4.0,516801,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",2.6.141,4.1 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
Howlr,DATING,3.9,105,27M,"5,000+",Free,0,Mature 17+,Dating,"June 19, 2018",1.0.4,4.4 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",Free,0,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up
NoBuffDating - Free Dating App,DATING,4.2,1939,Varies with device,"100,000+",Free,0,Mature 17+,Dating,"January 8, 2017",1.0.0,4.0 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,"November 6, 2017",1.0,4.0.3 and up
Adult Dating - AdultFinder,DATING,3.3,1601,3.8M,"500,000+",Free,0,Mature 17+,Dating,"February 1, 2017",1.5,4.1 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57081,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",2.6.141,4.1 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"August 2, 2018",Varies with device,Varies with device
Heart mill,DATING,3.3,4631,45M,"100,000+",Free,0,Mature 17+,Dating,"August 4, 2018",5.2.14,5.0 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",Free,0,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13204,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
"SweetRing - Meet, Match, Date",DATING,4.0,51698,63M,"1,000,000+",Free,0,Mature 17+,Dating,"July 26, 2018",3.0.0,4.0.3 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,20M,"500,000+",Free,0,Mature 17+,Dating,"June 19, 2018",4.9.2 (Oasis),4.2 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57083,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
Interracial Match Dating App,DATING,3.6,143,27M,"10,000+",Free,0,Mature 17+,Dating,"July 23, 2018",2.2.7,4.1 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,"November 6, 2017",1.0,4.0.3 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,"1,000,000+",Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up
Luxy Pro- Elite Dating Single,DATING,3.9,742,26M,"50,000+",Free,0,Mature 17+,Dating,"April 7, 2018",5.3.3.13289,4.0.3 and up
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,"1,000,000+",Free,0,Mature 17+,Dating,"April 3, 2018",0.1.11,4.0 and up
O-Star,DATING,4.4,59,38M,"5,000+",Free,0,Everyone,Dating,"July 19, 2018",1.0.1,4.3 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",Free,0,Mature 17+,Dating,"July 16, 2018",8.2,4.0.3 and up
